ID,Fecha,Tipo,Fuente,Distancia (km),Calorías,Duración (min)
132,2024-10-30T11:40:07,Breathwork,Garmin Cloud,0.0,0.0,5.6
174,2024-08-04T14:12:38,Breathwork,Garmin Cloud,0.0,0.0,5.6
194,2024-06-23T16:15:00,Tenis,Apple,0.0,,55.0
220,2024-01-21T00:10:56,Tenis,Apple,0.0,,1.2
229,2023-12-02T11:00:00,Tenis,Apple,0.0,,90.0
231,2023-12-02T09:00:00,Tenis,Apple,0.0,,120.0
235,2023-11-28T18:00:00,Tenis,Apple,0.0,,60.0
236,2023-11-25T09:00:00,Tenis,Apple,0.0,,60.0
243,2023-11-18T09:00:00,Tenis,Apple,0.0,,60.0
244,2023-11-12T09:00:00,Tenis,Apple,0.0,,180.0
245,2023-11-11T09:00:00,Tenis,Apple,0.0,,60.0
249,2023-11-05T16:00:00,Tenis,Apple,0.0,,120.0
251,2023-11-04T11:38:36,Other,Apple,0.0,,129.4
252,2023-11-04T09:00:00,Tenis,Apple,0.0,,60.0
254,2023-10-28T09:00:00,Tenis,Apple,0.0,,60.0
256,2023-10-22T12:30:00,Tenis,Apple,0.0,,50.0
259,2023-10-21T09:00:00,Tenis,Apple,0.0,,60.0
263,2023-10-14T11:00:00,Tenis,Apple,0.0,,60.0
265,2023-10-08T17:00:00,Tenis,Apple,0.0,,105.0
269,2023-10-01T16:00:00,Tenis,Apple,0.0,,105.0
271,2023-09-30T11:00:00,Tenis,Apple,0.0,,60.0
275,2023-09-23T11:00:00,Tenis,Apple,0.0,,60.0
278,2023-09-16T11:00:00,Tenis,Apple,0.0,,60.0
280,2023-09-10T13:00:00,Tenis,Apple,0.0,,300.0
283,2023-09-09T11:00:00,Tenis,Apple,0.0,,60.0
286,2023-09-02T11:00:00,Tenis,Apple,0.0,,60.0
289,2023-08-26T11:00:00,Tenis,Apple,0.0,,60.0
290,2023-08-20T10:30:00,Tenis,Apple,0.0,,60.0
291,2023-08-19T11:00:00,Tenis,Apple,0.0,,60.0
295,2023-08-05T11:00:00,Tenis,Apple,0.0,,60.0
296,2023-07-29T11:00:00,Tenis,Apple,0.0,,60.0
298,2023-07-26T06:40:15,Tenis,Apple,0.0,,1.2
299,2023-07-23T18:00:00,Tenis,Apple,0.0,,60.0
300,2023-07-22T11:00:00,Tenis,Apple,0.0,,60.0
301,2023-07-18T11:00:00,Tenis,Apple,0.0,,60.0
302,2023-07-15T12:00:00,Tenis,Apple,0.0,,60.0
304,2023-07-15T11:00:00,Tenis,Apple,0.0,,60.0
305,2023-07-08T11:00:00,Tenis,Apple,0.0,,60.0
306,2023-07-01T11:00:00,Tenis,Apple,0.0,,60.0
307,2023-06-24T11:00:00,Tenis,Apple,0.0,,60.0
309,2023-06-17T11:00:00,Tenis,Apple,0.0,,60.0
337,2022-12-17T21:47:21,Other,Apple,0.0,,41.6
345,2022-12-05T21:30:48,Caminata,Apple,0.0,,1.9
411,2026-01-28 11:32:34,breathwork,Garmin V3 Sync,0.0,0.0,5.6
