id;fecha;tipo;distancia_km;duracion_min;calorias;fuente;nombre;estado
175;2024-07-31T19:39:14;Carrera;5.39;43.1;344.0;Apple;Carrera [Est];REPARADO (Estimado)
176;2024-07-29T19:37:17;Carrera;4.58;36.6;292.0;Apple;Carrera [Est];REPARADO (Estimado)
177;2024-07-27T10:23:06;Tenis;1.49;36.9;256.0;Apple;Tenis [Est];REPARADO (Estimado)
178;2024-07-26T19:57:09;Carrera;3.79;30.3;242.0;Apple;Carrera [Est];REPARADO (Estimado)
179;2024-07-26T19:39:05;Carrera;1.71;13.7;109.0;Apple;Carrera [Est];REPARADO (Estimado)
180;2024-07-22T19:39:19;Carrera;5.04;40.3;322.0;Apple;Carrera [Est];REPARADO (Estimado)
181;2024-07-21T10:19:31;Carrera;4.06;32.5;260.0;Apple;Carrera [Est];REPARADO (Estimado)
184;2024-07-17T19:39:13;Caminata;1.88;42.4;138.0;Apple;Caminata [Est];REPARADO (Estimado)
185;2024-07-15T19:38:46;Carrera;7.03;56.2;449.0;Apple;Carrera [Est];REPARADO (Estimado)
186;2024-07-14T14:59:54;Tenis;2.52;62.7;435.0;Apple;Tenis [Est];REPARADO (Estimado)
187;2024-07-13T08:46:31;Tenis;6.68;165.8;1151.0;Apple;Tenis [Est];REPARADO (Estimado)
188;2024-07-06T09:38:38;Tenis;1.07;26.5;184.0;Apple;Tenis [Est];REPARADO (Estimado)
189;2024-07-03T19:40:06;Carrera;4.8;38.4;307.0;Apple;Carrera [Est];REPARADO (Estimado)
190;2024-07-01T19:38:40;Carrera;4.83;38.6;308.0;Apple;Carrera [Est];REPARADO (Estimado)
191;2024-06-30T09:10:59;Tenis;2.81;69.9;485.0;Apple;Tenis [Est];REPARADO (Estimado)
192;2024-06-29T08:47:25;Tenis;5.44;135.2;938.0;Apple;Tenis [Est];REPARADO (Estimado)
193;2024-06-24T19:36:59;Carrera;5.36;42.9;343.0;Apple;Carrera [Est];REPARADO (Estimado)
194;2024-06-23T16:15:00;Tenis;2.21;55.0;381.0;Apple;Tenis [Est];REPARADO (Estimado)
195;2024-06-23T16:00:08;Tenis;3.12;77.5;538.0;Apple;Tenis [Est];REPARADO (Estimado)
